Customer ID,Gender,Region,Town size,Age Groups,Education Level,Home ownership,Job category,Employment length,Retired,Annual Household income,Debt to income ratio,Marital status,Household size,Telecom provider tenure (in months),Telecom provider tenure (in years),Customer Tenure,Voice service usage,Voice Service Groups,Equipment monthly usage,Monthly data usage,Data Usage Groups,Streaming hours,Streaming Groups,Plans,Number of Plans,Subscriptions,Number of subscriptions,Devices,Number of devices,Services,Number of services,CARTsegments,kmeans_segment,Customer Activity
3403-UEPTEF-CXT,Male,Southeast,Mega-City,55 to 64,Post Secondary,Yes,Sales,9,No,89000,5.9,Married,2,25,2.083333333,Established,15,Low,0,0,None,15,Low,International plan,1,"Video streaming, Financial News streaming, Mobile security",3,"Smart device, Gaming console",2,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,3,3,Low
2772-XIIOXU-DVU,Male,Southwest,Medium,35 to 44,Some High School,Yes,Professional,4,No,34000,2.7,Married,2,25,2.083333333,Established,23.25,Low,0,0,None,16,Low,No plans,0,No subscriptions,0,No devices,0,Virtual assistant service,1,2,1,Low
8464-XDFEKQ-0KD,Female,Southeast,Medium,55 to 64,Some High School,No,Sales,9,No,68000,8.3,Unmarried,2,69,5.75,Veteran,43.8,Moderate,0,0,None,16,Low,"International plan, Family plan",2,"Video streaming, Financial News streaming, Mobile security",3,Home computer,1,Virtual assistant service,1,5,2,Low
0736-ZYJFDS-Y0I,Male,Southeast,Medium,25 to 34,Post Secondary,Yes,Sales,0,No,32000,5.9,Unmarried,2,11,0.916666667,Newcomer,8.55,Low,0,0,None,20,Moderate,International plan,1,"Video streaming, Mobile security",2,"Smart device, Gaming console",2,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,1,3,Low
9997-QIXKNU-54A,Male,Southwest,Extra Large,25 to 34,Post Secondary,Yes,Labor,3,No,31000,1.3,Unmarried,2,13,1.083333333,Newcomer,22.35,Low,34.6,0,None,21,Moderate,"Family plan, Home internet plan",2,Equipment,1,"Home computer, Smart device, Gaming console",3,IoT device support,1,3,4,Low
7959-NKQIFR-RRO,Male,Midwest,Small,25 to 34,Completed High School,Yes,Sales,1,No,21000,6.9,Married,3,50,4.166666667,Loyal,28.65,Moderate,0,0,None,29,Moderate,No plans,0,No subscriptions,0,Smart device,1,No devices,0,4,1,Moderate
8330-HXKTOD-G48,Female,West Coast,Extra Large,65 to 74,Post Secondary,No,Sales,3,Yes,10000,6.5,Unmarried,1,17,1.416666667,Emerging,10.5,Low,0,0,None,27,Moderate,International plan,1,"Video streaming, Mobile security",2,"Home computer, Smart device",2,"Virtual assistant service, Cloud backup",2,1,4,Low
8342-BCCKIG-4AN,Male,Midwest,Small,55 to 64,Post Secondary,Yes,Sales,6,No,90000,23.5,Unmarried,1,60,5,Loyal,59.55,High,44.4,0,None,17,Low,"International plan, Family plan, Home internet plan",3,"Equipment, Video streaming, Financial News streaming, Mobile security",4,"Home computer, Smart device",2,"Cloud storage, Virtual assistant service, Cloud backup",3,7,2,Moderate
1044-QTPABQ-WVW,Female,Midwest,Large,65 to 74,Post Secondary,No,Professional,19,No,89000,7.6,Unmarried,1,44,3.666666667,Loyal,36.45,Moderate,0,26.15,Moderate,25,Moderate,"International plan, Wireless data plan, Home internet plan",3,"Video streaming, Financial News streaming, Mobile security",3,"Home computer, Smart device",2,"Cloud storage, Cloud backup",2,5,3,Moderate
0785-LPNOQC-0C0,Male,Midwest,Small,35 to 44,Completed High School,Yes,Professional,10,No,63000,10.2,Unmarried,1,17,1.416666667,Emerging,12,Low,0,0,None,18,Moderate,No plans,0,"Video streaming, Financial News streaming",2,No devices,0,No devices,0,1,1,Low
3755-LUSAQY-E4O,Male,Midwest,Medium,25 to 34,Some High School,Yes,Professional,4,No,38000,13,Unmarried,1,31,2.583333333,Established,28.5,Moderate,42.4,33.45,Moderate,23,Moderate,"International plan, Wireless data plan, Home internet plan",3,"Equipment, Video streaming, Smart home monitoring, Financial News streaming, Mobile security",5,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,5,6,Moderate
8999-AZOBII-VIX,Female,Midwest,Extra Large,25 to 34,Post Secondary,Yes,Professional,3,No,38000,9.8,Married,4,47,3.916666667,Loyal,27.3,Low,45.25,48.35,Moderate,14,Low,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming, Smart home monitoring, Financial News streaming, Mobile security",5,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,3,6,Low
3021-AJAZKZ-4GF,Female,Southeast,Extra Large,55 to 64,Post Secondary,Yes,Professional,10,No,41000,1.6,Unmarried,1,55,4.583333333,Loyal,37.2,Moderate,0,0,None,9,Low,International plan,1,Video streaming,1,Smart device,1,"Virtual assistant service, Cloud backup",2,5,2,Low
9084-HUOIWY-HYL,Female,Midwest,Large,35 to 44,Post Secondary,Yes,Sales,2,No,19000,11.6,Unmarried,2,41,3.416666667,Established,51.9,Moderate,0,0,None,20,Moderate,Home internet plan,1,No subscriptions,0,Home computer,1,No devices,0,6,1,Moderate
2838-ODWGTI-SB5,Female,Southeast,Medium,35 to 44,Some High School,Yes,Crafts,9,No,30000,28.9,Unmarried,1,18,1.5,Emerging,37.8,Moderate,0,0,None,20,Moderate,No plans,0,"Video streaming, Mobile security",2,No devices,0,No devices,0,4,1,Moderate
9087-SPYAKC-3QO,Male,Southeast,Extra Large,65 to 74,Some High School,Yes,Professional,11,No,34000,22.3,Unmarried,1,55,4.583333333,Loyal,29.4,Moderate,0,33.45,Moderate,21,Moderate,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Video streaming, Mobile security",2,"Home computer, Smart device, Smart home device",3,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,5,6,Moderate
6429-GMGFFW-Y6O,Female,Southwest,Medium,45 to 54,Post Secondary,Yes,Labor,11,No,39000,4.3,Married,3,66,5.5,Veteran,33,Moderate,0,0,None,29,Moderate,"International plan, Family plan",2,"Video streaming, Financial News streaming",2,No devices,0,"Cloud storage, Virtual assistant service, Cloud backup",3,5,2,Moderate
4406-CWASGT-8EZ,Female,Midwest,Small,18 to 24,Post Secondary,No,Labor,0,No,35000,8.1,Married,3,14,1.166666667,Newcomer,21.3,Low,21.6,0,None,16,Low,"International plan, Family plan, Home internet plan",3,Equipment,1,"Home computer, Smart device",2,No devices,0,3,4,Low
4758-RMVWIA-XO1,Male,Southwest,Small,35 to 44,Some High School,Yes,Crafts,5,No,21000,8.5,Married,4,27,2.25,Established,29.7,Moderate,0,0,None,18,Moderate,International plan,1,"Video streaming, Mobile security",2,No devices,0,"IoT device support, Virtual assistant service, Cloud backup",3,5,1,Moderate
9646-NHVEEJ-VZ9,Female,Southeast,Large,65 to 74,Post Secondary,Yes,,5,Yes,17000,16.8,Unmarried,1,58,4.833333333,Loyal,45.45,Moderate,0,0,None,21,Moderate,"International plan, Family plan, Home internet plan",3,No subscriptions,0,"Home computer, Smart device, Gaming console",3,Cloud storage,1,6,2,Moderate
7607-GRPLIE-C1J,Female,Northeast,Small,25 to 34,Post Secondary,Yes,Professional,2,No,21000,9,Unmarried,5,4,0.333333333,Newcomer,7.65,Low,0,0,None,16,Low,International plan,1,"Video streaming, Mobile security",2,No devices,0,Cloud backup,1,1,1,Low
0238-VGATLL-U7B,Male,Southeast,Large,Over 75,Some High School,Yes,Labor,44,Yes,25000,18,Married,2,72,6,Veteran,102.45,High,0,0,None,16,Low,"International plan, Family plan",2,Financial News streaming,1,Home computer,1,No devices,0,8,2,Moderate
9257-UGOWQJ-0GM,Male,West Coast,Mega-City,45 to 54,Post Secondary,Yes,Sales,5,No,54000,18.8,Unmarried,3,58,4.833333333,Loyal,30.75,Moderate,0,39.6,Moderate,23,Moderate,"International plan, Wireless data plan, Family plan",3,"Video streaming, Financial News streaming, Mobile security",3,"Home computer, Smart device, Smart home device",3,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,5,6,Moderate
7323-INVHNA-K5B,Female,Midwest,Medium,Over 75,Post Secondary,No,Sales,14,Yes,12000,5.6,Unmarried,1,33,2.75,Established,33.45,Moderate,0,0,None,16,Low,International plan,1,No subscriptions,0,No devices,0,No devices,0,5,1,Low
8889-ZZTCKO-M2X,Male,Southwest,Large,35 to 44,Post Secondary,Yes,Labor,6,No,45000,3.9,Married,2,32,2.666666667,Established,35.25,Moderate,36.7,0,None,16,Low,"Family plan, Home internet plan",2,Equipment,1,"Home computer, Gaming console",2,"IoT device support, Virtual assistant service, Cloud backup",3,5,4,Low
3337-XMBNGV-1YI,Male,Midwest,Medium,45 to 54,Some High School,Yes,Sales,3,No,28000,6.7,Married,4,35,2.916666667,Established,32.7,Moderate,0,0,None,19,Moderate,International plan,1,"Video streaming, Financial News streaming, Mobile security",3,Gaming console,1,"Cloud storage, Cloud backup",2,5,2,Moderate
2385-DKTGGA-2OT,Female,Southeast,Small,35 to 44,Post Secondary,No,Professional,4,No,31000,6.2,Married,4,38,3.166666667,Established,20.25,Low,32.55,0,None,23,Moderate,"International plan, Family plan, Home internet plan",3,"Equipment, Mobile security",2,"Home computer, Smart device, Gaming console",3,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,3,3,Low
4483-CIQXVJ-R7J,Male,Northeast,Extra Large,65 to 74,Completed High School,No,Professional,6,No,39000,11.2,Unmarried,1,42,3.5,Established,25.65,Low,0,0,None,11,Low,Home internet plan,1,Financial News streaming,1,Home computer,1,No devices,0,3,1,Low
3570-HZUGOB-C33,Female,Southeast,Medium,25 to 34,Post Secondary,No,Sales,6,No,25000,17.5,Unmarried,1,31,2.583333333,Established,28.35,Moderate,33.85,34.3,Moderate,23,Moderate,"International plan, Wireless data plan, Family plan",3,"Equipment, Video streaming, Mobile security",3,Home computer,1,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,5,3,Moderate
9671-ALAHDR-WW2,Male,Northeast,Extra Large,45 to 54,Post Secondary,No,Labor,16,No,143000,11.5,Married,3,68,5.666666667,Veteran,131.4,High,35.4,0,None,20,Moderate,"International plan, Family plan, Home internet plan",3,"Equipment, Video streaming, Financial News streaming",3,"Home computer, Gaming console",2,"Cloud storage, Cloud backup",2,8,5,Moderate
1202-YUYPSH-XCC,Male,Northeast,Medium,55 to 64,Post Secondary,Yes,Agriculture,24,No,51000,16.3,Unmarried,1,61,5.083333333,Veteran,51,Moderate,0,0,None,15,Low,"International plan, Family plan, Home internet plan",3,"Video streaming, Financial News streaming, Mobile security",3,Home computer,1,Cloud backup,1,6,2,Low
6962-FWDUBX-87W,Female,West Coast,Mega-City,65 to 74,Post Secondary,No,Labor,26,Yes,10000,4.6,Married,2,58,4.833333333,Loyal,52.05,Moderate,0,0,None,19,Moderate,"International plan, Family plan, Home internet plan",3,"Financial News streaming, Mobile security",2,"Home computer, Smart device",2,No devices,0,6,2,Moderate
6308-REILUL-K6N,Male,Midwest,Small,45 to 54,Post Secondary,Yes,Professional,11,No,642000,4.6,Married,2,46,3.833333333,Loyal,27.45,Low,83.9,104.25,High,18,Moderate,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming, Smart home monitoring, Mobile security",4,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,3,6,Moderate
8001-YBLPIW-AI5,Female,West Coast,Large,45 to 54,Post Secondary,Yes,Sales,2,No,59000,21.8,Unmarried,1,48,4,Loyal,49.95,Moderate,44.4,53,High,22,Moderate,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming, Financial News streaming, Mobile security",4,"Home computer, Smart device, Gaming console",3,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,6,6,Moderate
6891-KEMHFO-JU6,Female,Midwest,Small,45 to 54,Completed High School,Yes,Professional,11,No,59000,5.6,Married,2,5,0.416666667,Newcomer,7.8,Low,26.2,0,None,16,Low,International plan,1,"Equipment, Mobile security",2,Home computer,1,No devices,0,1,1,Low
3692-CLHXLX-H7W,Male,Southwest,Small,65 to 74,Completed High School,Yes,Labor,31,No,56000,9,Married,2,70,5.833333333,Veteran,130.2,High,0,0,None,24,Moderate,"International plan, Family plan",2,No subscriptions,0,"Smart device, Gaming console",2,No devices,0,8,5,Moderate
4376-ZFMTBS-OKE,Female,West Coast,Extra Large,35 to 44,Post Secondary,No,Professional,5,No,76000,18.3,Unmarried,2,28,2.333333333,Established,32.25,Moderate,44.45,50.15,High,19,Moderate,"International plan, Wireless data plan, Home internet plan",3,"Equipment, Video streaming, Smart home monitoring, Mobile security",4,"Home computer, Smart device, Smart home device",3,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,5,6,Moderate
1051-TKEIEE-H8M,Male,West Coast,Large,45 to 54,Post Secondary,No,Service,3,No,19000,15.5,Unmarried,1,52,4.333333333,Loyal,32.25,Moderate,45.7,48.7,Moderate,14,Low,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming",2,"Home computer, Smart device, Gaming console",3,"Cloud storage, IoT device support",2,5,6,Moderate
4563-NZSKTT-MBD,Female,Southeast,Small,35 to 44,Post Secondary,No,Sales,3,No,22000,11.5,Unmarried,1,67,5.583333333,Veteran,56.55,High,55,46.85,Moderate,19,Moderate,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming, Smart home monitoring, Financial News streaming, Mobile security",5,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,7,6,Moderate
4605-TNMJOE-FCU,Female,Southeast,Medium,45 to 54,Post Secondary,Yes,Professional,8,No,76000,21.8,Unmarried,1,66,5.5,Veteran,56.25,High,64,48,Moderate,19,Moderate,"International plan, Wireless data plan, Family plan, Home internet plan",4,Equipment,1,"Home computer, Smart device, Gaming console",3,"IoT device support, Virtual assistant",2,7,6,Moderate
5175-SCMVHN-Y4W,Male,Northeast,Medium,45 to 54,Post Secondary,No,Crafts,19,No,110000,24.8,Unmarried,1,60,5,Loyal,76.2,High,34.7,29.5,Moderate,23,Moderate,"International plan, Wireless data plan, Family plan",3,"Equipment, Video streaming, Financial News streaming, Mobile security",4,Smart home device,1,"Virtual assistant service, Cloud backup",2,7,6,Moderate
9173-ALBLAB-JN5,Male,Southwest,Small,45 to 54,Post Secondary,No,Professional,4,No,52000,5.1,Unmarried,1,14,1.166666667,Newcomer,11.85,Low,0,0,None,24,Moderate,No plans,0,No subscriptions,0,Gaming console,1,No devices,0,1,1,Low
1498-AHEYHZ-G4E,Female,Southwest,Small,45 to 54,Post Secondary,Yes,Sales,10,No,76000,3.6,Unmarried,1,27,2.25,Established,24.9,Low,0,0,None,20,Moderate,International plan,1,"Video streaming, Financial News streaming, Mobile security",3,No devices,0,Virtual assistant service,1,3,1,Low
3655-ZHJTWA-JVN,Male,Northeast,Small,45 to 54,Post Secondary,Yes,Sales,6,No,36000,21.8,Unmarried,1,29,2.416666667,Established,29.85,Moderate,0,0,None,20,Moderate,International plan,1,"Video streaming, Mobile security",2,No devices,0,"Cloud storage, Virtual assistant service, Cloud backup",3,5,1,Moderate
4229-HJKJHF-FQC,Male,Southeast,Medium,Over 75,Post Secondary,Yes,Labor,24,Yes,11000,12,Married,2,68,5.666666667,Veteran,34.05,Moderate,0,0,None,20,Moderate,"International plan, Family plan",2,"Video streaming, Financial News streaming, Mobile security",3,Gaming console,1,"Virtual assistant service, Cloud backup",2,5,2,Moderate
8327-GSWQDE-26L,Female,Northeast,Mega-City,35 to 44,Some High School,Yes,Crafts,9,No,37000,5.7,Unmarried,1,11,0.916666667,Newcomer,6.9,Low,0,0,None,25,Moderate,Home internet plan,1,Mobile security,1,"Home computer, Smart device, Gaming console",3,Virtual assistant service,1,1,4,Low
5862-CMJCTU-0PD,Female,Midwest,Medium,25 to 34,Post Secondary,Yes,Professional,1,No,24000,4.1,Married,2,60,5,Loyal,37.8,Moderate,0,0,None,15,Low,"International plan, Family plan",2,Financial News streaming,1,Smart home device,1,No devices,0,5,2,Low
0873-MIADPJ-6VP,Female,West Coast,Small,35 to 44,Post Secondary,No,Professional,4,No,32000,7,Married,4,71,5.916666667,Veteran,81.15,High,0,48.85,Moderate,28,Moderate,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Video streaming, Smart home monitoring, Financial News streaming, Mobile security",4,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,8,6,Moderate
8716-VIGELV-5X7,Female,Northeast,Medium,35 to 44,Post Secondary,Yes,Labor,10,No,96000,16,Married,4,64,5.333333333,Veteran,56.4,High,0,0,None,17,Low,"International plan, Family plan",2,"Video streaming, Financial News streaming, Mobile security",3,"Home computer, Smart device, Smart home device",3,"Virtual assistant service, Cloud backup",2,7,2,Moderate
7757-MHGZVN-WAK,Male,Midwest,Medium,45 to 54,Post Secondary,Yes,Agriculture,14,No,151000,4.3,Married,5,49,4.083333333,Loyal,26.85,Low,0,0,None,29,Moderate,"International plan, Family plan, Home internet plan",3,"Video streaming, Financial News streaming, Mobile security",3,"Home computer, Smart device",2,"IoT device support, Virtual assistant",2,3,2,Low
6854-MXUYYG-73P,Male,Midwest,Small,35 to 44,Post Secondary,Yes,Sales,3,No,83000,18.7,Married,4,48,4,Loyal,105.45,High,38.55,0,None,23,Moderate,"Family plan, Home internet plan",2,"Equipment, Video streaming, Financial News streaming",3,"Home computer, Gaming console",2,No devices,0,8,2,Moderate
3834-IBVOWB-JXZ,Female,West Coast,Extra Large,45 to 54,Post Secondary,No,Labor,18,No,89000,10,Unmarried,2,68,5.666666667,Veteran,39,Moderate,0,0,None,17,Low,"International plan, Family plan",2,"Financial News streaming, Mobile security",2,Smart device,1,No devices,0,5,2,Low
1839-JFVGFD-URP,Male,West Coast,Extra Large,35 to 44,Post Secondary,Yes,Professional,9,No,42000,10.3,Married,2,35,2.916666667,Established,17.4,Low,43.7,0,None,17,Low,"International plan, Family plan, Home internet plan",3,"Equipment, Video streaming, Financial News streaming, Mobile security",4,"Home computer, Smart device, Gaming console",3,"Cloud storage, Virtual assistant service, Cloud backup",3,3,3,Low
7940-UVUDPX-QP3,Female,Southeast,Medium,25 to 34,Post Secondary,Yes,Professional,3,No,31000,5.6,Unmarried,1,8,0.666666667,Newcomer,11.25,Low,28.5,0,None,20,Moderate,"Family plan, Home internet plan",2,Equipment,1,"Home computer, Gaming console",2,No devices,0,1,4,Low
3091-BMFVLO-58H,Female,Southwest,Mega-City,45 to 54,Post Secondary,No,Labor,11,No,43000,4.4,Unmarried,2,64,5.333333333,Veteran,76.95,High,0,0,None,22,Moderate,"International plan, Family plan",2,Financial News streaming,1,Gaming console,1,No devices,0,7,2,Moderate
5622-MJXUZI-PZ7,Male,Southeast,Medium,25 to 34,Post Secondary,No,Service,0,No,23000,12.1,Married,2,36,3,Established,25.5,Low,43.25,38.9,Moderate,17,Low,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming, Mobile security",3,"Home computer, Smart device, Gaming console",3,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,3,6,Low
1860-OQTJHA-G67,Male,Southeast,Large,Over 75,Completed High School,No,,10,Yes,17000,0.3,Married,2,71,5.916666667,Veteran,64.5,High,0,0,None,14,Low,"International plan, Family plan",2,"Video streaming, Financial News streaming, Mobile security",3,No devices,0,"Virtual assistant service, Cloud backup",2,7,2,Moderate
4007-HKDFMC-S6B,Female,Northeast,Extra Large,45 to 54,Completed High School,Yes,Crafts,8,No,41000,7.4,Unmarried,1,24,2,Emerging,30,Moderate,0,0,None,14,Low,No plans,0,No subscriptions,0,No devices,0,No devices,0,4,1,Low
0014-SHVSIE-LP9,Male,Midwest,Large,35 to 44,Post Secondary,Yes,Professional,8,No,92000,11,Unmarried,3,28,2.333333333,Established,22.2,Low,55.5,59,High,7,Low,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming, Smart home monitoring, Mobile security",4,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,3,6,Moderate
1110-ARKUEK-2N1,Female,Southwest,Small,65 to 74,Post Secondary,No,Professional,10,Yes,13000,4,Unmarried,1,46,3.833333333,Loyal,13.65,Low,0,0,None,21,Moderate,"International plan, Home internet plan",2,"Financial News streaming, Mobile security",2,"Home computer, Smart device",2,No devices,0,1,4,Low
7061-NNEUTF-LVY,,Southwest,Mega-City,25 to 34,Post Secondary,Yes,Professional,3,No,27000,15.3,Unmarried,3,8,0.666666667,Newcomer,42.9,Moderate,31.15,0,None,12,Low,"Family plan, Home internet plan",2,Equipment,1,"Home computer, Smart device, Gaming console",3,Cloud storage,1,5,4,Low
8347-DIRIVI-L25,,Southwest,Large,45 to 54,No High School,No,Sales,6,No,37000,4.4,Unmarried,1,29,2.416666667,Established,16.35,Low,0,0,None,10,Low,International plan,1,"Video streaming, Mobile security",2,No devices,0,"Virtual assistant service, Cloud backup",2,3,1,Low
2177-DBXQEF-6ZN,,West Coast,Mega-City,45 to 54,No High School,Yes,Labor,22,No,92000,20.2,Married,2,72,6,Veteran,169.35,High,0,0,None,25,Moderate,"International plan, Family plan",2,"Financial News streaming, Mobile security",2,Smart device,1,"Virtual assistant service, Cloud backup",2,8,5,Moderate
4466-QZDRDY-3Q5,,Northeast,Mega-City,25 to 34,Post Secondary,Yes,Sales,0,No,48000,2.3,Unmarried,3,5,0.416666667,Newcomer,12.45,Low,25.8,0,None,22,Moderate,Home internet plan,1,Equipment,1,"Home computer, Smart device, Gaming console",3,Cloud storage,1,1,4,Low
4163-ELNRLS-L26,,Southeast,Medium,35 to 44,Post Secondary,Yes,Service,9,No,72000,3.4,Unmarried,1,16,1.333333333,Emerging,12.6,Low,0,0,None,11,Low,No plans,0,No subscriptions,0,No devices,0,No devices,0,1,1,Low
9121-JUBJOI-RVF,,West Coast,Extra Large,25 to 34,Post Secondary,Yes,Professional,2,No,17000,13.2,Unmarried,1,25,2.083333333,Established,27.75,Low,41.05,30.85,Moderate,25,Moderate,"Wireless data plan, Family plan, Home internet plan",3,"Equipment, Financial News streaming, Mobile security",3,"Home computer, Smart device, Gaming console",3,Virtual assistant service,1,3,3,Moderate
7167-GGLBZF-G13,,Southwest,Large,65 to 74,No High School,Yes,Professional,16,No,56000,2.7,Unmarried,1,27,2.25,Established,34.05,Moderate,0,0,None,28,Moderate,International plan,1,"Video streaming, Mobile security",2,No devices,0,"Virtual assistant service, Cloud backup",2,5,1,Moderate
8554-MORPOB-UFV,,Southeast,Medium,55 to 64,Post Secondary,Yes,Professional,21,No,82000,16.4,Married,6,38,3.166666667,Established,25.2,Low,0,0,None,25,Moderate,"International plan, Home internet plan",2,"Video streaming, Mobile security",2,"Home computer, Smart device",2,Cloud backup,1,3,4,Low
4419-QJJUZT-N91,Female,West Coast,Extra Large,55 to 64,Some High School,Yes,Professional,15,No,44000,15.5,Married,2,69,5.75,Veteran,59.4,High,0,0,None,13,Low,International plan,1,Financial News streaming,1,No devices,0,No devices,0,7,2,Moderate
9522-BFLYJM-P8U,Male,West Coast,Large,35 to 44,Post Secondary,Yes,Professional,4,No,39000,6.4,Married,4,58,4.833333333,Loyal,31.5,Moderate,29.85,0,None,21,Moderate,"International plan, Family plan, Home internet plan",3,"Equipment, Financial News streaming",2,"Home computer, Smart device, Gaming console",3,No devices,0,5,2,Moderate
0597-RNYRKL-5WV,Female,Northeast,Extra Large,65 to 74,Post Secondary,Yes,Sales,10,No,36000,11.6,Unmarried,1,71,5.916666667,Veteran,86.85,High,0,0,None,18,Moderate,"International plan, Family plan, Home internet plan",3,Financial News streaming,1,"Home computer, Gaming console",2,No devices,0,8,2,Moderate
0342-MRGOAJ-6X0,Female,Southwest,Small,25 to 34,Post Secondary,Yes,Sales,0,No,72000,7.2,Unmarried,2,29,2.416666667,Established,20.4,Low,31.25,0,None,18,Moderate,"Family plan, Home internet plan",2,"Equipment, Smart home monitoring",2,"Home computer, Smart device, Gaming console, Smart home device",4,Cloud storage,1,3,4,Low
9518-MWCQQO-Q97,Male,Southwest,Large,65 to 74,Post Secondary,Yes,Crafts,38,No,273000,6,Unmarried,1,72,6,Veteran,120.15,High,0,0,None,21,Moderate,International plan,1,Financial News streaming,1,No devices,0,No devices,0,8,5,Moderate
8175-UIPWJF-KD4,Male,Northeast,Small,35 to 44,Post Secondary,Yes,Labor,12,No,91000,5.5,Married,5,72,6,Veteran,49.95,Moderate,63.3,98.55,High,18,Moderate,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Smart home monitoring, Financial News streaming, Mobile security",4,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,6,6,Moderate
1766-NYRWTM-ZE6,Female,Southeast,Large,65 to 74,Post Secondary,No,Labor,31,Yes,15000,19.7,Unmarried,1,66,5.5,Veteran,60,High,0,0,None,16,Low,"International plan, Family plan",2,Financial News streaming,1,No devices,0,No devices,0,7,2,Moderate
4902-PMEVQC-TJG,Male,Northeast,Small,55 to 64,Post Secondary,Yes,Professional,7,No,52000,9.7,Married,2,61,5.083333333,Veteran,68.55,High,40.85,0,None,14,Low,"International plan, Family plan, Home internet plan",3,"Equipment, Smart home monitoring",2,"Home computer, Smart device, Gaming console, Smart home device",4,IoT device support,1,7,2,Moderate
9667-MUTWBN-CTA,Male,Southeast,Medium,18 to 24,Completed High School,No,Professional,0,No,14000,10.4,Unmarried,2,9,0.75,Newcomer,27.6,Low,0,0,None,22,Moderate,"International plan, Home internet plan",2,"Financial News streaming, Mobile security",2,"Home computer, Gaming console",2,No devices,0,3,4,Low
2852-YUIJSE-85D,Male,Northeast,Small,55 to 64,Post Secondary,Yes,Crafts,14,No,93000,6.5,Married,2,37,3.083333333,Established,38.1,Moderate,0,0,None,15,Low,International plan,1,"Video streaming, Financial News streaming, Mobile security",3,Home computer,1,"Virtual assistant service, Cloud backup",2,5,2,Low
0539-XCIYLO-LK2,Male,Northeast,Small,45 to 54,Post Secondary,Yes,Agriculture,19,No,56000,3.4,Married,2,27,2.25,Established,27.6,Low,0,0,None,27,Moderate,"International plan, Family plan",2,No subscriptions,0,No devices,0,No devices,0,3,1,Low
8731-TFXZCT-ERX,Male,Northeast,Medium,35 to 44,Post Secondary,Yes,Service,12,No,68000,13.9,Unmarried,2,3,0.25,Newcomer,12.45,Low,34.75,17.5,Low,15,Low,"Wireless data plan, Home internet plan",2,"Equipment, Video streaming",2,"Home computer, Smart device, Gaming console",3,Cloud storage,1,1,4,Low
0304-YFMNUF-R3Q,Male,Midwest,Small,55 to 64,Post Secondary,No,Agriculture,19,No,183000,14.3,Unmarried,1,21,1.75,Emerging,24.45,Low,0,0,None,16,Low,"International plan, Home internet plan",2,"Video streaming, Mobile security",2,"Home computer, Gaming console, Smart home device",3,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,3,3,Low
2374-TMXFAH-LDY,Female,West Coast,Mega-City,35 to 44,Post Secondary,No,Sales,1,No,43000,12.7,Married,2,10,0.833333333,Newcomer,26.4,Low,0,0,None,22,Moderate,"Family plan, Home internet plan",2,No subscriptions,0,"Home computer, Smart device, Gaming console",3,No devices,0,3,4,Low
2126-NKWFLM-XQV,Female,Southeast,Large,55 to 64,Completed High School,Yes,,20,No,40000,18.7,Married,3,61,5.083333333,Veteran,86.85,High,0,0,None,18,Moderate,International plan,1,Financial News streaming,1,No devices,0,No devices,0,8,2,Moderate
